id,name,kind,size,expected_label,start_line,end_line,description,system_spec
1,normal_small,normal,small,PASS,1,10,normal / small / 10 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
2,normal_medium,normal,medium,PASS,11,60,normal / medium / 50 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
3,normal_large,normal,large,PASS,61,260,normal / large / 200 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
4,missing_small,missing,small,FAIL,261,270,missing / small / 10 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
5,missing_medium,missing,medium,FAIL,271,320,missing / medium / 50 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
6,missing_large,missing,large,FAIL,321,520,missing / large / 200 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
7,reorder_small,reorder,small,FAIL,521,530,reorder / small / 10 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
8,reorder_medium,reorder,medium,FAIL,531,580,reorder / medium / 50 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
9,reorder_large,reorder,large,FAIL,581,780,reorder / large / 200 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
10,extra_small,extra,small,FAIL,781,790,extra / small / 10 lines,"対象システムはフードコートの呼び出し・順番待ちで使用される画面表示系アプリケーションである。

【ステータス】
- 受付済み
- 仕掛中
- 完了

【処理の流れ】
1. 受付・採番
2. 表示（お待ち番号）
    - ステータス: 受付済み
    - ステータス: 仕掛中
3. 調理完了
4. 表示（呼び出し番号）
    - ステータス: 完了
5. お渡し完了

【制約条件】
- ステータスは必ず「受付済み」→「仕掛中」→「完了」の順番で遷移する必要がある。
- ログに記録されている内容と、実際の画面表示の動きは一致している前提とする。
- エラーや例外（ERROR, Exception など）がログに出力されている場合、そのテストは正常動作（PASS）とはみなさない。"
