テストケースID,テスト項目,前提条件,確認手順,期待結果,判定,実施者,備考
1,正常系ログ（小（10行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,log/app.log の 1 行目～10 行目を使用。 自動生成ケース: normal / small / 10 lines
2,正常系ログ（中（50行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,log/app.log の 11 行目～60 行目を使用。 自動生成ケース: normal / medium / 50 lines
3,正常系ログ（大（200行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,log/app.log の 61 行目～260 行目を使用。 自動生成ケース: normal / large / 200 lines
4,異常系ログ（ステップ欠損）（小（10行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 261 行目～270 行目を使用。 自動生成ケース: missing / small / 10 lines
5,異常系ログ（ステップ欠損）（中（50行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 271 行目～320 行目を使用。 自動生成ケース: missing / medium / 50 lines
6,異常系ログ（ステップ欠損）（大（200行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 321 行目～520 行目を使用。 自動生成ケース: missing / large / 200 lines
7,異常系ログ（順序逆転）（小（10行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 521 行目～530 行目を使用。 自動生成ケース: reorder / small / 10 lines
8,異常系ログ（順序逆転）（中（50行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 531 行目～580 行目を使用。 自動生成ケース: reorder / medium / 50 lines
9,異常系ログ（順序逆転）（大（200行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,log/app.log の 581 行目～780 行目を使用。 自動生成ケース: reorder / large / 200 lines
10,異常系ログ（仕様外・ERROR混入）（小（10行））,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（仕様外ステータスやERRORログの混入）ため、LLM が FAIL と判定すること。,保留,,log/app.log の 781 行目～790 行目を使用。 自動生成ケース: extra / small / 10 lines
